lga_name,avg_revenue_per_active_listing,median_age_persons
Mosman,12162.201,42.0
Hunters Hill,10230.733333333334,43.0
Woollahra,10007.3225,39.0
North Sydney,8426.604444444445,37.0
Lane Cove,7013.843,36.0
Waverley,6061.4425,35.0
Sydney,5950.05125,32.0
Willoughby,5061.064545454546,37.0
Randwick,4345.833,34.0
Parramatta,4083.013,34.0
Canada Bay,3843.38,36.0
Ryde,3697.7316666666666,36.0
Blacktown,3694.7685714285712,33.0
Burwood,3237.3725,33.0
Hornsby,2535.41,40.0
Liverpool,2174.673333333333,33.0
