host_id,lgas_count,total_listings,total_stays,avg_price_across_lgas,distribution_type,lga_names,lga_codes
33952728,1,9.0,270.0,171.44444444444446,CONCENTRATED,NORTHERN BEACHES,15990
34622047,1,9.0,115.0,114.88888888888889,CONCENTRATED,NORTH SYDNEY,15950
34813082,1,9.0,135.0,142.66666666666666,CONCENTRATED,SYDNEY,17200
36241752,1,9.0,96.0,583.2222222222222,CONCENTRATED,NORTHERN BEACHES,15990
36600821,1,9.0,134.0,313.6666666666667,CONCENTRATED,WAVERLEY,18050
3978135,1,9.0,270.0,409.3333333333333,CONCENTRATED,WAVERLEY,18050
40158021,1,9.0,270.0,50.111111111111114,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
407155,1,9.0,269.0,400.0,CONCENTRATED,INNER WEST,14170
41601682,1,9.0,246.0,315.90444444444444,CONCENTRATED,NORTHERN BEACHES,15990
4177969,1,9.0,270.0,144.88888888888889,CONCENTRATED,WAVERLEY,18050
42888121,1,9.0,115.0,65.25333333333333,CONCENTRATED,LANE COVE,14700
4345827,1,9.0,257.0,81.66666666666667,CONCENTRATED,INNER WEST,14170
43622629,1,9.0,143.0,55.0,CONCENTRATED,WAVERLEY,18050
4394372,1,9.0,248.0,47.111111111111114,CONCENTRATED,WAVERLEY,18050
4414061,1,9.0,240.0,194.88888888888889,CONCENTRATED,RANDWICK,16550
47153714,1,9.0,270.0,121.55555555555556,CONCENTRATED,WAVERLEY,18050
47525416,1,9.0,30.0,76.11111111111111,CONCENTRATED,WAVERLEY,18050
49105385,1,9.0,136.0,136.77777777777777,CONCENTRATED,WAVERLEY,18050
49818330,1,9.0,270.0,118.11111111111111,CONCENTRATED,WAVERLEY,18050
49973496,1,9.0,243.0,150.11111111111111,CONCENTRATED,WAVERLEY,18050
50308317,1,9.0,263.0,449.8888888888889,CONCENTRATED,NORTHERN BEACHES,15990
51474298,1,9.0,214.0,350.0,CONCENTRATED,NORTH SYDNEY,15950
52277181,1,9.0,210.0,66.88888888888889,CONCENTRATED,NORTH SYDNEY,15950
52371010,1,9.0,0.0,35.0,CONCENTRATED,WILLOUGHBY,18250
52614996,1,9.0,270.0,216.55555555555554,CONCENTRATED,NORTH SYDNEY,15950
52796293,1,9.0,96.0,70.44444444444444,CONCENTRATED,RANDWICK,16550
52930434,1,9.0,267.0,100.66666666666667,CONCENTRATED,SYDNEY,17200
53907808,1,9.0,10.0,75.88888888888889,CONCENTRATED,SYDNEY,17200
53918241,1,9.0,93.0,134.44444444444446,CONCENTRATED,RANDWICK,16550
59844797,1,9.0,208.0,547.1111111111111,CONCENTRATED,SYDNEY,17200
60289205,1,9.0,45.0,253.11111111111111,CONCENTRATED,SYDNEY,17200
6125376,1,9.0,270.0,214.11111111111111,CONCENTRATED,WAVERLEY,18050
61483601,1,9.0,179.0,29.444444444444443,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
6377596,1,9.0,9.0,136.66666666666666,CONCENTRATED,SYDNEY,17200
641100,1,9.0,262.0,60.0,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
65190873,1,9.0,18.0,300.0,CONCENTRATED,WAVERLEY,18050
6546312,1,9.0,270.0,121.0,CONCENTRATED,WAVERLEY,18050
65825639,1,9.0,55.0,82.0,CONCENTRATED,SYDNEY,17200
6652149,1,9.0,232.0,45.0,CONCENTRATED,NORTHERN BEACHES,15990
6682310,1,9.0,69.0,293.8888888888889,CONCENTRATED,NORTHERN BEACHES,15990
68204842,1,9.0,270.0,180.0,CONCENTRATED,INNER WEST,14170
68451288,1,9.0,60.0,78.11111111111111,CONCENTRATED,RANDWICK,16550
688781,1,9.0,118.0,133.44444444444446,CONCENTRATED,INNER WEST,14170
70646320,1,9.0,150.0,39.666666666666664,CONCENTRATED,RANDWICK,16550
71041384,1,9.0,110.0,241.0,CONCENTRATED,SYDNEY,17200
71738894,1,9.0,222.0,51.0,CONCENTRATED,SYDNEY,17200
7419619,1,9.0,160.0,171.77777777777777,CONCENTRATED,WAVERLEY,18050
7770190,1,9.0,270.0,174.88888888888889,CONCENTRATED,INNER WEST,14170
7815499,1,9.0,131.0,53.666666666666664,CONCENTRATED,NORTH SYDNEY,15950
78233474,1,9.0,158.0,200.44444444444446,CONCENTRATED,RANDWICK,16550
7991502,1,9.0,269.0,195.66666666666666,CONCENTRATED,WAVERLEY,18050
7992659,1,9.0,270.0,90.22222222222223,CONCENTRATED,SYDNEY,17200
81426608,1,9.0,0.0,799.8888888888889,CONCENTRATED,LANE COVE,14700
81754439,1,9.0,256.0,556.5555555555555,CONCENTRATED,INNER WEST,14170
828783,1,9.0,257.0,1240.111111111111,CONCENTRATED,NORTHERN BEACHES,15990
8350358,1,9.0,106.0,160.0,CONCENTRATED,SYDNEY,17200
8716559,1,9.0,90.0,80.0,CONCENTRATED,WAVERLEY,18050
8780900,1,9.0,103.0,190.0,CONCENTRATED,SYDNEY,17200
88377041,1,9.0,270.0,88.0,CONCENTRATED,RANDWICK,16550
88468874,1,9.0,267.0,250.0,CONCENTRATED,SYDNEY,17200
89612703,1,9.0,201.0,450.0,CONCENTRATED,NORTHERN BEACHES,15990
9018486,1,9.0,259.0,56.55555555555556,CONCENTRATED,BAYSIDE,11100
9270938,1,9.0,95.0,198.6888888888889,CONCENTRATED,SYDNEY,17200
9338919,1,9.0,268.0,154.55555555555554,CONCENTRATED,INNER WEST,14170
93566621,1,9.0,0.0,300.0,CONCENTRATED,WAVERLEY,18050
9420546,1,9.0,265.0,106.88888888888889,CONCENTRATED,INNER WEST,14170
9651815,1,9.0,258.0,75.0,CONCENTRATED,UPPER HUNTER SHIRE,17620
96737295,1,9.0,196.0,93.33333333333333,CONCENTRATED,BAYSIDE,11100
9711288,1,9.0,19.0,87.22222222222223,CONCENTRATED,NORTH SYDNEY,15950
97577859,1,9.0,0.0,811.1111111111111,CONCENTRATED,NORTH SYDNEY,15950
98669985,1,9.0,270.0,173.22222222222223,CONCENTRATED,HUNTERS HILL,14100
99576028,1,9.0,71.0,500.3333333333333,CONCENTRATED,BAYSIDE,11100
1291639,2,8.0,160.0,115.42857142857143,DISTRIBUTED,"HUNTERS HILL, NORTH SYDNEY","14100, 15950"
188976388,2,8.0,167.0,470.1666666666667,DISTRIBUTED,"MOSMAN, RANDWICK","15350, 16550"
100302075,1,8.0,1.0,300.0,CONCENTRATED,WAVERLEY,18050
100595008,1,8.0,202.0,90.625,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
101152040,1,8.0,16.0,196.875,CONCENTRATED,SUTHERLAND SHIRE,17150
101464797,1,8.0,24.0,649.875,CONCENTRATED,NORTHERN BEACHES,15990
10200670,1,8.0,215.0,212.625,CONCENTRATED,SUTHERLAND SHIRE,17150
102305024,1,8.0,240.0,42.5,CONCENTRATED,HUNTERS HILL,14100
102812483,1,8.0,151.0,400.0,CONCENTRATED,WILLOUGHBY,18250
103403646,1,8.0,240.0,140.625,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
103468750,1,8.0,24.0,300.0,CONCENTRATED,WAVERLEY,18050
103925236,1,8.0,100.0,150.125,CONCENTRATED,WOOLLAHRA,18500
10398617,1,8.0,203.0,93.125,CONCENTRATED,SYDNEY,17200
104596918,1,8.0,240.0,70.0,CONCENTRATED,BAYSIDE,11100
105255213,1,8.0,16.0,250.0,CONCENTRATED,BURWOOD,11300
10535556,1,8.0,240.0,198.125,CONCENTRATED,RANDWICK,16550
106055325,1,8.0,240.0,93.625,CONCENTRATED,WILLOUGHBY,18250
106084485,1,8.0,0.0,1350.0,CONCENTRATED,NORTHERN BEACHES,15990
10649584,1,8.0,201.0,220.0,CONCENTRATED,SYDNEY,17200
10773341,1,8.0,240.0,324.875,CONCENTRATED,SYDNEY,17200
107979516,1,8.0,16.0,148.875,CONCENTRATED,WAVERLEY,18050
10858943,1,8.0,240.0,405.875,CONCENTRATED,WOOLLAHRA,18500
10859587,1,8.0,202.0,67.71375,CONCENTRATED,BAYSIDE,11100
108973981,1,8.0,37.0,95.375,CONCENTRATED,RANDWICK,16550
109063296,1,8.0,83.0,69.0,CONCENTRATED,SYDNEY,17200
10952019,1,8.0,24.0,850.0,CONCENTRATED,RANDWICK,16550
10956316,1,8.0,240.0,336.75,CONCENTRATED,WAVERLEY,18050
10975507,1,8.0,240.0,75.5,CONCENTRATED,WAVERLEY,18050
11503347,1,8.0,120.0,81.625,CONCENTRATED,WILLOUGHBY,18250
11634825,1,8.0,0.0,451.875,CONCENTRATED,SYDNEY,17200
116755161,1,8.0,236.0,73.0,CONCENTRATED,RANDWICK,16550
11738190,1,8.0,240.0,200.125,CONCENTRATED,WOOLLAHRA,18500
117425485,1,8.0,24.0,193.75,CONCENTRATED,SYDNEY,17200
1185139,1,8.0,0.0,82.875,CONCENTRATED,SYDNEY,17200
119570880,1,8.0,187.0,64.375,CONCENTRATED,BAYSIDE,11100
120276496,1,8.0,236.0,52.0,CONCENTRATED,WOOLLAHRA,18500
120289539,1,8.0,197.0,56.375,CONCENTRATED,RANDWICK,16550
12068448,1,8.0,29.0,1216.125,CONCENTRATED,NORTHERN BEACHES,15990
121304817,1,8.0,30.0,115.625,CONCENTRATED,WAVERLEY,18050
122304819,1,8.0,0.0,218.75,CONCENTRATED,WAVERLEY,18050
122540897,1,8.0,240.0,60.0,CONCENTRATED,NORTH SYDNEY,15950
12299287,1,8.0,232.0,500.125,CONCENTRATED,INNER WEST,14170
1232300,1,8.0,240.0,80.125,CONCENTRATED,BAYSIDE,11100
123855898,1,8.0,11.0,56.375,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
1248990,1,8.0,78.0,37.625,CONCENTRATED,INNER WEST,14170
124925673,1,8.0,240.0,300.25,CONCENTRATED,INNER WEST,14170
127451501,1,8.0,195.0,69.0,CONCENTRATED,INNER WEST,14170
127454503,1,8.0,8.0,78.625,CONCENTRATED,RANDWICK,16550
12784744,1,8.0,60.0,400.0,CONCENTRATED,WAVERLEY,18050
129485995,1,8.0,240.0,61.0,CONCENTRATED,NORTH SYDNEY,15950
12970108,1,8.0,16.0,150.125,CONCENTRATED,NORTH SYDNEY,15950
130015153,1,8.0,180.0,93.75,CONCENTRATED,SYDNEY,17200
132123742,1,8.0,79.0,79.0,CONCENTRATED,WAVERLEY,18050
13212868,1,8.0,204.0,129.25,CONCENTRATED,WAVERLEY,18050
13251795,1,8.0,240.0,155.125,CONCENTRATED,MOSMAN,15350
136142669,1,8.0,240.0,98.625,CONCENTRATED,INNER WEST,14170
13837615,1,8.0,240.0,640.125,CONCENTRATED,WILLOUGHBY,18250
13912299,1,8.0,240.0,81.5,CONCENTRATED,NORTH SYDNEY,15950
139193693,1,8.0,24.0,647.25,CONCENTRATED,SYDNEY,17200
140219864,1,8.0,240.0,495.125,CONCENTRATED,SYDNEY,17200
14075880,1,8.0,43.0,574.5,CONCENTRATED,NORTHERN BEACHES,15990
141033830,1,8.0,240.0,98.875,CONCENTRATED,MOSMAN,15350
141960398,1,8.0,240.0,80.0,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
1420991,1,8.0,240.0,85.0,CONCENTRATED,WAVERLEY,18050
14211067,1,8.0,56.0,301.25,CONCENTRATED,SYDNEY,17200
142706107,1,8.0,199.0,82.75,CONCENTRATED,INNER WEST,14170
144599946,1,8.0,0.0,1625.0,CONCENTRATED,SYDNEY,17200
14574967,1,8.0,86.0,98.75,CONCENTRATED,INNER WEST,14170
145918905,1,8.0,68.0,66.125,CONCENTRATED,NORTH SYDNEY,15950
14758524,1,8.0,240.0,269.625,CONCENTRATED,WAVERLEY,18050
148473598,1,8.0,56.0,300.125,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
149038917,1,8.0,240.0,48.875,CONCENTRATED,SYDNEY,17200
14908334,1,8.0,44.0,77.625,CONCENTRATED,RANDWICK,16550
149203079,1,8.0,107.0,118.125,CONCENTRATED,NORTH SYDNEY,15950
14989204,1,8.0,143.0,212.25,CONCENTRATED,NORTHERN BEACHES,15990
1503015,1,8.0,209.0,69.625,CONCENTRATED,INNER WEST,14170
15031011,1,8.0,240.0,56.5,CONCENTRATED,BAYSIDE,11100
15069484,1,8.0,240.0,450.0,CONCENTRATED,WAVERLEY,18050
151075581,1,8.0,16.0,250.0,CONCENTRATED,WAVERLEY,18050
1526138,1,8.0,240.0,169.25,CONCENTRATED,WAVERLEY,18050
15393042,1,8.0,240.0,249.875,CONCENTRATED,WAVERLEY,18050
154634077,1,8.0,16.0,78.125,CONCENTRATED,UPPER HUNTER SHIRE,17620
15626671,1,8.0,240.0,149.875,CONCENTRATED,NORTHERN BEACHES,15990
15733215,1,8.0,8.0,378.25,CONCENTRATED,NORTHERN BEACHES,15990
15748226,1,8.0,240.0,375.125,CONCENTRATED,WAVERLEY,18050
158525807,1,8.0,240.0,194.875,CONCENTRATED,BAYSIDE,11100
158598964,1,8.0,190.0,97.5,CONCENTRATED,SYDNEY,17200
159388091,1,8.0,198.0,57.375,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
16024061,1,8.0,34.0,80.125,CONCENTRATED,SINGLETON,17000
160706299,1,8.0,62.0,313.5,CONCENTRATED,NORTH SYDNEY,15950
161086393,1,8.0,240.0,80.0,CONCENTRATED,WOOLLAHRA,18500
161353299,1,8.0,208.0,612.625,CONCENTRATED,WAVERLEY,18050
161919115,1,8.0,179.0,516.875,CONCENTRATED,NORTHERN BEACHES,15990
1621735,1,8.0,8.0,132.625,CONCENTRATED,WAVERLEY,18050
162197015,1,8.0,153.0,25.0,CONCENTRATED,GEORGES RIVER,12930
162493729,1,8.0,25.0,178.0,CONCENTRATED,LANE COVE,14700
163408471,1,8.0,28.0,76.125,CONCENTRATED,WAVERLEY,18050
1645947,1,8.0,56.0,208.41125,CONCENTRATED,SYDNEY,17200
16599255,1,8.0,240.0,188.75,CONCENTRATED,SYDNEY,17200
16614473,1,8.0,16.0,207.5,CONCENTRATED,INNER WEST,14170
16685396,1,8.0,240.0,83.75,CONCENTRATED,NORTHERN BEACHES,15990
167289573,1,8.0,240.0,74.875,CONCENTRATED,SYDNEY,17200
16732187,1,8.0,81.0,187.625,CONCENTRATED,MOSMAN,15350
16738151,1,8.0,4.0,69.125,CONCENTRATED,SYDNEY,17200
168320877,1,8.0,240.0,146.375,CONCENTRATED,SYDNEY,17200
168649470,1,8.0,240.0,300.0,CONCENTRATED,WAVERLEY,18050
16941868,1,8.0,240.0,160.0,CONCENTRATED,SYDNEY,17200
171704798,1,8.0,240.0,46.125,CONCENTRATED,RANDWICK,16550
172937399,1,8.0,240.0,85.0,CONCENTRATED,INNER WEST,14170
175778139,1,8.0,150.0,95.25,CONCENTRATED,SYDNEY,17200
