property_type,room_type,accommodates,total_stays,avg_revenue_per_active_listing,total_active_listings,months_with_data,stays_rank,revenue_rank
BED AND BREAKFAST,HOTEL ROOM,1,0.0,0.0,1.0,1,801,749
BED AND BREAKFAST,HOTEL ROOM,4,0.0,0.0,1.0,1,802,750
BED AND BREAKFAST,PRIVATE ROOM,5,0.0,0.0,1.0,1,803,751
BED AND BREAKFAST,PRIVATE ROOM,6,0.0,0.0,1.0,1,804,752
BED AND BREAKFAST,SHARED ROOM,1,0.0,0.0,1.0,1,805,753
BED AND BREAKFAST,SHARED ROOM,4,0.0,0.0,1.0,1,806,754
BED AND BREAKFAST,SHARED ROOM,6,0.0,0.0,1.0,1,807,755
BED AND BREAKFAST,SHARED ROOM,8,0.0,0.0,1.0,1,808,756
PRIVATE ROOM IN GUESTHOUSE,PRIVATE ROOM,6,0.0,0.0,1.0,1,745,795
BOAT,ENTIRE HOME/APT,5,0.0,0.0,1.0,1,809,757
PRIVATE ROOM IN GUEST SUITE,PRIVATE ROOM,16,0.0,0.0,1.0,1,746,796
BOUTIQUE HOTEL,ENTIRE HOME/APT,2,0.0,0.0,1.0,1,810,758
BUNGALOW,ENTIRE HOME/APT,10,0.0,0.0,1.0,1,811,759
BUNGALOW,PRIVATE ROOM,2,0.0,0.0,1.0,1,812,760
BUNGALOW,PRIVATE ROOM,4,0.0,0.0,1.0,1,813,761
BUS,ENTIRE HOME/APT,4,0.0,0.0,1.0,1,814,762
CAMPER/RV,ENTIRE HOME/APT,2,0.0,0.0,1.0,1,815,763
CAMPER/RV,ENTIRE HOME/APT,7,0.0,0.0,2.0,1,816,764
CAMPSITE,ENTIRE HOME/APT,16,0.0,0.0,1.0,1,817,765
CAVE,ENTIRE HOME/APT,1,0.0,0.0,1.0,1,818,766
CONDOMINIUM,ENTIRE HOME/APT,10,0.0,0.0,1.0,1,819,767
CONDOMINIUM,SHARED ROOM,4,0.0,0.0,2.0,1,820,768
COTTAGE,ENTIRE HOME/APT,1,0.0,0.0,1.0,1,821,769
ENTIRE APARTMENT,ENTIRE HOME/APT,14,0.0,0.0,1.0,1,822,770
ENTIRE BUNGALOW,ENTIRE HOME/APT,10,0.0,0.0,1.0,1,823,771
ENTIRE COTTAGE,ENTIRE HOME/APT,1,0.0,0.0,1.0,1,824,772
ENTIRE GUESTHOUSE,ENTIRE HOME/APT,1,0.0,0.0,2.0,1,825,773
FARM STAY,SHARED ROOM,1,0.0,0.0,1.0,1,826,774
GUESTHOUSE,SHARED ROOM,12,0.0,0.0,1.0,1,827,775
GUESTHOUSE,SHARED ROOM,4,0.0,0.0,1.0,1,828,776
HERITAGE HOTEL (INDIA),HOTEL ROOM,2,0.0,0.0,1.0,1,829,777
HOSTEL,HOTEL ROOM,5,0.0,0.0,1.0,1,830,778
HOSTEL,SHARED ROOM,3,0.0,0.0,1.0,1,831,779
HOSTEL,SHARED ROOM,6,0.0,0.0,4.0,1,832,780
HOSTEL,SHARED ROOM,8,0.0,0.0,6.0,1,833,781
HOTEL,PRIVATE ROOM,3,0.0,0.0,1.0,1,834,782
HOTEL,PRIVATE ROOM,5,0.0,0.0,1.0,1,835,783
HOUSE,PRIVATE ROOM,11,0.0,0.0,1.0,1,836,784
HOUSE,PRIVATE ROOM,8,0.0,0.0,1.0,1,837,785
HOUSE,PRIVATE ROOM,9,0.0,0.0,1.0,1,838,786
HOUSE,SHARED ROOM,1,0.0,0.0,4.0,1,839,787
LOFT,PRIVATE ROOM,3,0.0,0.0,1.0,1,840,788
OTHER,PRIVATE ROOM,2,0.0,0.0,1.0,1,841,789
PRIVATE ROOM IN BED AND BREAKFAST,PRIVATE ROOM,4,0.0,0.0,1.0,1,842,790
PRIVATE ROOM IN BOAT,PRIVATE ROOM,2,0.0,0.0,1.0,1,843,791
APARTHOTEL,ENTIRE HOME/APT,2,0.0,0.0,1.0,1,844,792
PRIVATE ROOM IN CABIN,PRIVATE ROOM,1,0.0,0.0,1.0,1,845,793
PRIVATE ROOM IN DOME HOUSE,PRIVATE ROOM,1,0.0,0.0,1.0,1,846,794
