listing_neighbourhood,avg_revenue_per_active_listing,months_with_data,total_active_listings,total_stays,revenue_rank
MOSMAN,12162.201,10,52.0,1179.0,1
SUTHERLAND SHIRE,11835.38,9,39.0,780.0,2
HUNTERS HILL,10230.733333333334,6,21.0,406.0,3
WOOLLAHRA,10007.3225,8,77.0,1760.0,4
NORTH SYDNEY,8426.604444444445,9,91.0,1908.0,5
