lga_name,lga_code,avg_revenue_per_active_listing,months_with_data,total_active_listings,revenue_rank,performance_group
Mosman,15350,12162.201,10,52.0,1,TOP_3
Hunters Hill,14100,10230.733333333334,6,21.0,2,TOP_3
Woollahra,18500,10007.3225,8,77.0,3,TOP_3
Burwood,11300,3237.3725,11,85.0,14,BOTTOM_3
Hornsby,14000,2535.41,10,37.0,15,BOTTOM_3
Liverpool,14900,2174.673333333333,9,29.0,16,BOTTOM_3
